Retailer Name,Category,Website
Tapi,Home,tapi.co.uk
Ted Baker,Fashion,tedbaker.com
Tesco,Grocery,tesco.com
The Body Shop,Health & beauty,thebodyshop.com
The Co-operative Food,Grocery,coop.co.uk
The Entertainer,Entertainment,thetoyshop.com
The Hut Group,N/A,N/A
The Fragrance Shop,Health & beauty,thefragranceshop.co.uk
The Perfume Shop,Health & beauty,theperfumeshop.com
The Original Factory Shop,General merchandise,tofs.com
The Range,General merchandise,therange.co.uk
The Very Group,General merchandise,very.co.uk
The White Company,General merchandise,thewhitecompany.com
The Works,General merchandise,theworks.co.uk
Three,Electricals,three.co.uk
TK Maxx,Fashion,tkmaxx.com
Topshop,Fashion,topshop.com
Trouva,General merchandise,trouva.com
Uniqlo,Fashion,uniqlo.com
Urban Outfitters,Fashion,urbanoutfitters.com
Victoria Plum,Home,victoriaplum.com
Victorian Plumbing,Home,victorianplumbing.co.uk
Vodafone,Electricals,vodafone.co.uk
Waitrose,Grocery,waitrose.com
Waterstones,Entertainment,waterstones.com
Whistles,Fashion,whistles.com
White Stuff,Fashion,whitestuff.com
WHSmith,Entertainment,whsmith.co.uk
Wickes,Home,wickes.co.uk
WiggleCRC,Sport & leisure,wiggle.co.uk
Wilko,General merchandise,wilko.com
Wish,N/A,N/A
Woolovers,Fashion,woolovers.com
Yoox Net-a-Porter,N/A,N/A
Yours Clothing,Fashion,yoursclothing.co.uk
Zalando,Fashion,zalando.co.uk
Zara,Fashion,zara.com
